MsgID.LOCAL_POSITION,29.0950000,-0.0883503,0.2879072,-0.0031583
MsgID.LOCAL_VELOCITY,29.0950000,0.0000209,-0.0000000,0.0000082
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924796,0.0030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.3460000,-0.0523774,0.1816722,0.0082649
MsgID.LOCAL_VELOCITY,29.3460000,0.0000333,0.0000131,0.0000008
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924799,-0.0080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.5960000,-0.0524608,0.3124702,0.0194091
MsgID.LOCAL_VELOCITY,29.5960000,0.0000128,-0.0000034,0.0000006
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924799,-0.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.8460000,-0.1483329,0.4415620,0.0297559
MsgID.LOCAL_VELOCITY,29.8460000,-0.0000203,0.0000021,-0.0000009
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924791,-0.0290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,30.0960000,-0.1836188,0.3147184,0.0307063
MsgID.LOCAL_VELOCITY,30.0960000,0.0003377,-0.0006615,-0.0177333
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924788,-0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,30.3470000,0.0106792,0.2924782,0.0179613
MsgID.LOCAL_VELOCITY,30.3470000,0.0000514,-0.0000633,0.0000120
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924805,-0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
